,pid,info_cost,PR_type,message,trial_index,trial_id,delays,score,n_click,clicks,click_times,path,action_times
0,0,1.25,none,none,1,8969.0,[15],10.75,1,[1],[2869],"[1, 1, 2, 4]","[11219, 28273, 34591]"
1,0,1.25,none,none,2,9359.0,[15],0.25,3,"[5, 9, 1]","[1998, 4708, 11014]","[1, 9, 10, 12]","[13147, 32672, 35775]"
2,0,1.25,none,none,3,9876.0,[15],13.75,5,"[9, 12, 11, 15, 16]","[1647, 2669, 3494, 9504, 12246]","[1, 9, 10, 11]","[14037, 37723, 38677]"
3,0,1.25,none,none,4,6615.0,[15],-1.0,4,"[8, 16, 15, 13]","[1763, 6739, 7771, 8444]","[1, 13, 14, 15]","[10560, 26729, 28393]"
4,0,1.25,none,none,5,5157.0,[15],20.0,0,[],[],"[1, 5, 6, 8]","[3405, 23072, 66331]"
5,0,1.25,none,none,6,7410.0,[15],16.25,3,"[9, 1, 5]","[5647, 6733, 7580]","[1, 5, 6, 7]","[8692, 25672, 27321]"
6,0,1.25,none,none,7,6264.0,[15],8.25,3,"[1, 3, 4]","[1547, 2215, 2997]","[1, 13, 14, 15]","[5194, 21946, 22928]"
7,0,1.25,none,none,8,7618.0,[15],-6.5,2,"[9, 5]","[1690, 3103]","[1, 5, 6, 7]","[4244, 20830, 21732]"
8,0,1.25,none,none,9,8818.0,[15],10.75,1,[1],[1046],"[1, 1, 2, 3]","[2377, 18945, 19760]"
9,0,1.25,none,none,10,7003.0,[15],-15.75,3,"[1, 9, 5]","[1445, 2708, 3284]","[1, 1, 2, 4]","[4442, 21106, 21867]"
10,0,1.25,none,none,11,6060.0,[],1.5,2,"[1, 9]","[2914, 4063]","[1, 9, 10, 11]","[4964, 14397, 16252]"
11,0,1.25,none,none,12,6426.0,[],15.0,4,"[1, 5, 9, 13]","[1272, 2030, 2884, 3586]","[1, 13, 14, 15]","[4572, 6033, 9770]"
12,0,1.25,none,none,13,6337.0,[],23.0,4,"[5, 1, 3, 4]","[69224, 70094, 70886, 71671]","[1, 1, 2, 4]","[72604, 98243, 99060]"
13,0,1.25,none,none,14,7370.0,[],0.25,3,"[5, 7, 8]","[985, 1681, 3050]","[1, 5, 6, 7]","[4454, 6119, 6862]"
14,0,1.25,none,none,15,5033.0,[],16.25,3,"[5, 9, 12]","[1399, 2127, 2838]","[1, 9, 10, 12]","[3772, 4747, 5555]"
15,0,1.25,none,none,16,5638.0,[],7.0,4,"[5, 7, 8, 1]","[1896, 2871, 3604, 4830]","[1, 1, 2, 3]","[5794, 6859, 8155]"
16,1,4.0,none,none,1,13397.0,[5],-24.0,1,[5],[8904],"[1, 5, 6, 7]","[17601, 29668, 31635]"
17,1,4.0,none,none,2,12579.0,[5],-28.0,2,"[2, 14]","[4615, 7675]","[1, 9, 10, 12]","[9490, 15930, 17919]"
18,1,4.0,none,none,3,14313.0,[5],-4.0,2,"[6, 10]","[1096, 2935]","[1, 5, 6, 8]","[7935, 14044, 15820]"
19,1,4.0,none,none,4,12675.0,[5],-4.0,4,"[6, 7, 10, 14]","[1276, 3004, 4636, 6967]","[1, 13, 14, 15]","[9384, 15495, 17053]"
20,1,4.0,none,none,5,10323.0,[5],4.0,4,"[6, 14, 10, 2]","[2463, 4686, 6025, 9240]","[1, 13, 14, 15]","[12197, 18874, 20099]"
21,1,4.0,none,none,6,12086.0,[5],12.0,2,"[6, 7]","[3720, 6808]","[1, 5, 6, 8]","[8829, 15008, 17283]"
22,1,4.0,none,none,7,12291.0,[5],-20.0,2,"[10, 12]","[3695, 6134]","[1, 5, 6, 7]","[10245, 17543, 18899]"
23,1,4.0,none,none,8,14785.0,[5],-24.0,5,"[14, 2, 6, 10, 7]","[3903, 5319, 7020, 8051, 10633]","[1, 9, 10, 11]","[13030, 19029, 20330]"
24,1,4.0,none,none,9,12615.0,[5],-16.0,3,"[10, 14, 1]","[2580, 5547, 7902]","[1, 9, 10, 12]","[9599, 15806, 18514]"
25,1,4.0,none,none,10,13051.0,[5],-16.0,5,"[14, 1, 3, 7, 11]","[781, 4713, 6581, 7797, 10043]","[1, 13, 14, 16]","[11559, 17528, 19307]"
26,1,4.0,none,none,11,12022.0,[],-40.0,5,"[10, 1, 13, 5, 7]","[7822, 9537, 10781, 11863, 15624]","[1, 13, 14, 15]","[18052, 19336, 20994]"
27,1,4.0,none,none,12,11337.0,[],20.0,2,"[9, 1]","[1267, 3377]","[1, 1, 2, 4]","[6683, 8023, 9471]"
28,1,4.0,none,none,13,12997.0,[],4.0,4,"[5, 1, 6, 10]","[2293, 4271, 6695, 7951]","[1, 13, 14, 16]","[10012, 11545, 12779]"
29,1,4.0,none,none,14,12186.0,[],8.0,1,[5],[1999],"[1, 5, 6, 8]","[3929, 4970, 6737]"
30,1,4.0,none,none,15,13777.0,[],0.0,3,"[5, 6, 2]","[1103, 3501, 4956]","[1, 9, 10, 11]","[7953, 9079, 10232]"
31,1,4.0,none,none,16,10339.0,[],16.0,3,"[6, 10, 9]","[1994, 3891, 6004]","[1, 9, 10, 11]","[7546, 8426, 9249]"
32,2,0.1,none,none,1,1996.0,[15],-12.0,0,[],[],"[1, 5, 6, 7]","[2463, 18545, 20385]"
33,2,0.1,none,none,2,2700.0,[15],4.0,0,[],[],"[1, 9, 10, 12]","[1554, 19395, 21262]"
34,2,0.1,none,none,3,3376.0,[15],-12.4,4,"[1, 13, 5, 9]","[1406, 2964, 4402, 5182]","[1, 13, 14, 15]","[6382, 26905, 29892]"
35,2,0.1,none,none,4,54.0,[15],-4.4,4,"[1, 13, 5, 9]","[3816, 4550, 5472, 6283]","[1, 9, 10, 12]","[7449, 65553, 67244]"
36,2,0.1,none,none,5,3335.0,[15],11.6,4,"[1, 13, 9, 5]","[3091, 3815, 4436, 4965]","[1, 9, 10, 11]","[6319, 23806, 24997]"
37,2,0.1,none,none,6,4684.0,[15],-12.0,0,[],[],"[1, 5, 6, 7]","[373, 17745, 19006]"
38,2,0.1,none,none,7,1269.0,[15],-12.0,0,[],[],"[1, 9, 10, 11]","[667, 20348, 24844]"
39,2,0.1,none,none,8,4860.0,[15],19.2,8,"[12, 4, 7, 15, 16, 8, 3, 11]","[743, 1887, 3016, 4586, 6154, 7459, 8336, 9597]","[1, 5, 6, 8]","[11575, 30154, 31084]"
40,2,0.1,none,none,9,2306.0,[15],-12.8,8,"[16, 15, 8, 7, 12, 11, 4, 3]","[305, 992, 1832, 2412, 3441, 4054, 5044, 5845]","[1, 5, 6, 7]","[7269, 24491, 25258]"
41,2,0.1,none,none,10,163.0,[15],-12.8,8,"[7, 8, 3, 4, 15, 16, 11, 12]","[1707, 2556, 3528, 4470, 5087, 5731, 6330, 7119]","[1, 1, 2, 3]","[9170, 25134, 26252]"
42,2,0.1,none,none,11,2319.0,[],28.0,0,[],[],"[1, 5, 6, 8]","[1918, 6463, 7354]"
43,2,0.1,none,none,12,1597.0,[],43.0,10,"[7, 8, 3, 4, 15, 16, 11, 12, 5, 2]","[743, 1456, 2076, 2945, 3662, 4471, 5347, 6047, 6885, 7666]","[1, 1, 2, 3]","[10219, 11265, 11961]"
44,2,0.1,none,none,13,3324.0,[],34.4,16,"[7, 8, 3, 4, 15, 16, 11, 12, 10, 9, 6, 5, 2, 13, 14, 1]","[379, 995, 1678, 2275, 2872, 3482, 4074, 4752, 5393, 5771, 6512, 6892, 7697, 8748, 9246, 13765]","[1, 5, 6, 8]","[15198, 15935, 16561]"
45,2,0.1,none,none,14,4439.0,[],2.4,16,"[7, 8, 6, 5, 3, 2, 4, 1, 13, 15, 14, 16, 11, 10, 9, 12]","[394, 1095, 1529, 2203, 2785, 3268, 3747, 4329, 4922, 5509, 5953, 6466, 7867, 8314, 8679, 9813]","[1, 13, 14, 15]","[19669, 20406, 21063]"
46,2,0.1,none,none,15,3845.0,[],34.4,16,"[7, 8, 6, 5, 3, 2, 4, 1, 13, 15, 14, 16, 11, 10, 12, 9]","[517, 1468, 1903, 2342, 2934, 3399, 4320, 4927, 5579, 6040, 6532, 7049, 7785, 8920, 9323, 9829]","[1, 9, 10, 12]","[11159, 11880, 12505]"
47,2,0.1,none,none,16,1313.0,[],18.4,16,"[7, 6, 8, 3, 5, 1, 2, 4, 15, 14, 13, 16, 11, 10, 9, 12]","[973, 1425, 1952, 2483, 3316, 4156, 4557, 5094, 5728, 6190, 6722, 7225, 7822, 8278, 8660, 9627]","[1, 5, 6, 8]","[11812, 12420, 13086]"
48,3,0.1,none,none,1,1269.0,[15],-12.0,0,[],[],"[1, 5, 6, 8]","[7120, 42926, 48636]"
