,pid,info_cost,trial_index,pr_sum,click_prs
0,0,1.0,1,-18.339019781836594,"[0.0, -2.6964432864539836, -3.3614176672916711, -3.3614176672916711, 0.0, -1.4245526479266397, -1.0700487513073025, -0.96896381501543338, 0.0, -0.94148018493096153, -0.96896381501543427, -0.96896381501543249, 0.0, -1.8986807203180636, 0.0, -0.67808741127000305, 0.0]"
1,0,1.0,2,-9.742873676292769,"[0.0, -1.4840427344059464, -8.2588309418868224]"
2,0,1.0,3,-5.019801477302286,"[0.0, -0.3953341746242085, -4.6244673026780774]"
3,0,1.0,4,-5.65333160828872,"[0.0, 0.0, 0.0, -0.42216426467021329, -5.2311673436185071]"
4,0,1.0,5,-6.346801405178832,"[0.0, -6.346801405178832]"
5,0,1.0,6,-11.96176002251828,[-11.961760022518281]
6,0,1.0,7,-11.96176002251828,[-11.961760022518281]
7,0,1.0,8,-11.96176002251828,[-11.961760022518281]
8,0,1.0,9,-11.96176002251828,[-11.961760022518281]
9,0,1.0,10,-9.395965855930932,"[0.0, -0.42216426467021329, -0.92984341374831914, -0.92984341374831914, -7.1141147637640803]"
10,0,1.0,11,-14.308702430460054,"[0.0, -0.3953341746242085, 0.0, -2.1551123783904877, -2.0504761995847396, -2.1481561001075669, -2.5191317452005393, -2.452595882240729, -2.5878959503117827, 0.0]"
11,0,1.0,12,-11.143983816077775,"[0.0, -11.143983816077775]"
12,0,1.0,13,-11.96176002251828,[-11.961760022518281]
13,0,1.0,14,-11.96176002251828,[-11.961760022518281]
14,0,1.0,15,-8.812100415559613,"[-0.27116052844644578, -8.5409398871131668]"
15,0,1.0,16,-11.671118281954108,"[-0.27116052844644578, -0.52772769441441092, -10.872230059093251]"
16,1,0.25,1,-19.336993235898053,[-19.336993235898053]
17,1,0.25,2,-11.52797171898612,"[0.0, -11.527971718986119]"
18,1,0.25,3,-8.459202484484848,"[0.0, -8.4592024844848481]"
19,1,0.25,4,-11.667136276709632,"[0.0, 0.0, 0.0, -0.14017004537056721, -11.526966231339065]"
20,1,0.25,5,-11.52797171898612,"[0.0, -11.527971718986119]"
21,1,0.25,6,-11.690954461540333,"[0.0, -0.1260301594747304, -11.564924302065602]"
22,1,0.25,7,-14.080750808396786,"[0.0, -0.42547433702026538, -13.655276471376521]"
23,1,0.25,8,-11.52797171898612,"[0.0, -11.527971718986119]"
24,1,0.25,9,-12.996476871030602,"[0.0, 0.0, 0.0, -0.14017004537056721, -12.856306825660035]"
25,1,0.25,10,-13.819240954060547,"[0.0, -0.1260301594747304, -13.693210794585816]"
26,1,0.25,11,-15.251085628581112,"[0.0, 0.0, -15.251085628581112]"
27,1,0.25,12,-10.979233812882413,"[0.0, -0.42547433702026538, -10.553759475862147]"
28,1,0.25,13,-19.336993235898053,[-19.336993235898053]
29,1,0.25,14,-17.249983053592697,"[0.0, -17.249983053592697]"
30,1,0.25,15,-16.15499611666265,"[0.0, -0.42547433702026538, -0.62680316368779287, -15.102718615954593]"
31,1,0.25,16,-10.305867728361076,"[0.0, -0.56618735306954804, -9.7396803752915275]"
32,2,4.0,1,-0.17004240645266094,"[-0.0023450817888783226, -0.0023450817888783504, -0.16535224287490427]"
33,2,4.0,2,-0.1670083967176173,"[-0.0023450817888783226, 0.0, -0.0022188737866191133, -0.16244444114211987]"
34,2,4.0,3,-4.515559827904248,"[-0.0023450817888783226, 0.0, -1.8298645088582628, -2.6833502372571072, 0.0, 0.0]"
35,2,4.0,4,-7.064223529033127,"[-0.0023450817888783226, -2.0131523278770533, -2.0131523278770542, -2.8579337545138612, -0.17764003697627917]"
36,2,4.0,5,-11.334896935545519,"[-0.0023450817888783226, -3.7034352031583357, -3.7031762558462531, -3.9212502311742972, -0.0023450817888783504, -0.0023450817888783504, 0.0, 0.0]"
37,2,4.0,6,-0.004690163577756673,"[-0.0023450817888783226, -0.0023450817888783504, 0.0, 0.0]"
38,2,4.0,7,-0.0023450817888783226,"[-0.0023450817888783226, 0.0, 0.0]"
39,2,4.0,8,-11.747433008094465,"[-0.0023450817888783226, -0.0023450817888783504, -3.7130515677123412, -3.7122435910024052, -4.1436230462479777, -0.17382463955398464]"
40,2,4.0,9,-6.204290411750001,"[-0.0023450817888783226, -2.0113687927488018, -2.0092469094344212, -2.0110304445626719, -0.17029918321522786]"
41,2,4.0,10,-1.8442202041655515,"[0.0, -1.8442202041655515, 0.0]"
42,2,4.0,11,0.0,"[0.0, 0.0]"
43,2,4.0,12,0.0,"[0.0, 0.0]"
44,2,4.0,13,-7.902334656702216,"[0.0, -3.9506195924952152, -3.9517150642070007, 0.0]"
45,2,4.0,14,-0.0044377475732382266,"[0.0, -0.0022188737866191133, -0.0022188737866191133, 0.0]"
46,2,4.0,15,-2.009850701931683,"[0.0, -1.8451996555259353, -0.16465104640574779]"
47,2,4.0,16,-0.15027686399610235,[-0.15027686399610235]
48,3,1.0,1,-19.39465916436515,"[-0.27116052844644578, -0.51616002492121105, -1.831507739412876, -3.2398999534492203, -0.27116052844644578, -0.52772769441441092, -1.8315077394128769, -2.6485917933692509, -8.2569431624924157]"
49,3,1.0,2,-18.73385080912255,"[0.0, -1.4840427344059464, -2.2199156558332973, -2.137531623697793, -1.2288765836224123, -2.1240432643711742, -2.2913689159843678, -2.2913689159843678, -4.956703115223192]"
50,3,1.0,3,-6.921235447961319,"[0.0, -0.42216426467021329, -0.42216426467021329, -0.92984341374831914, -0.74578617190971741, 0.0, -0.42193895315278596, -1.1037807120761975, 0.0, -0.16911328623118749, -2.7064443815026848, 0.0, 0.0]"
51,3,1.0,4,-12.9265137941744,"[0.0, 0.0, 0.0, -0.47384667555518245, 0.0, -2.1959411061819258, -1.2288765836224131, -2.1959411061819258, -2.1959411061819258, -4.6359672164510295]"
52,3,1.0,5,-16.534898373620358,"[0.0, 0.0, -1.4840427344059428, -1.5774686407764271, -1.2288765836224123, -2.1240432643711706, -1.5785430420619484, -1.5785430420619484, -1.6263945351466802, -2.2913689159843678, -2.2913689159843678, 0.0, -0.75424869920509252, 0.0]"
53,3,1.0,6,-7.258984679266867,"[0.0, -1.4840427344059464, -1.5774686407764271, -1.5774686407764307, -1.2288765836224158, -1.3911280796856467, 0.0]"
54,3,1.0,7,-3.5996484965294826,"[0.0, -0.3953341746242085, 0.0, -0.58235402905039635, -2.6219602928548777]"
55,3,1.0,8,-6.977429068180584,"[0.0, -0.42216426467021329, -1.5774686407764271, -1.5774686407764289, 0.0, -1.6263945351466802, 0.0, -0.027483630084471855, -1.7464493567263624]"
56,3,1.0,9,-6.806740658384971,"[0.0, -0.42216426467021329, -0.92984341374831914, -1.5774686407764271, -0.74578617190972096, 0.0, -0.027483630084473631, -1.226578860343345, -1.8774156768524719, 0.0]"
57,3,1.0,10,-14.242594900032811,"[0.0, -0.3953341746242085, -3.2398999534492203, -3.2398999534492203, -7.3674608185101622]"
58,3,1.0,11,-13.453948367708211,"[0.0, 0.0, -0.42216426467021329, -0.92984341374831914, -2.7338522188151853, 0.0, 0.0, -0.75424869920509252, -2.706444381502692, -2.9536976948833527, -2.9536976948833562, 0.0]"
59,3,1.0,12,-14.397286047069672,"[0.0, -0.42216426467021329, -0.92984341374831914, -0.92984341374831914, 0.0, 0.0, 0.0, -0.42193895315278596, 0.0, -1.5106274662324228, 0.0, -0.32601397783487407, -2.5314654572222537, -2.5314654572222555, -2.2884300295373556, -2.5054936137008728, 0.0]"
60,3,1.0,13,-9.322761916008954,"[0.0, 0.0, 0.0, -1.9899240058153325, -1.964828497876109, -1.0263946625230389, 0.0, -1.8414103566514726, -1.841410356651469, -0.6587940364915319, 0.0]"
61,3,1.0,14,-18.81643297793817,"[0.0, 0.0, -1.0263946625230389, 0.0, -2.9506183430316639, -2.9455638693837116, -2.9593245601893514, -2.9781771809367896, -2.9781771809368252, -2.9781771809367896, 0.0]"
62,3,1.0,15,-1.0263946625230425,"[0.0, -1.0263946625230425, 0.0, 0.0, 0.0]"
63,3,1.0,16,-3.7226981865452267,"[0.0, -0.42216426467021329, -0.42216426467021329, 0.0, 0.0, -2.8783696572048001, 0.0]"
64,4,1.0,1,-8.565922887504254,"[0.0, 0.0, 0.0, -0.47384667555518245, -1.8713235986792798, -6.2207526132697923]"
65,4,1.0,2,-4.2307089844283166,"[0.0, -1.0263946625230425, 0.0, -0.58235402905039635, -2.6219602928548777]"
