,clicks,decision,ground_truth,outcome_probs,reward_mu,reward_sigma,trial_index,workerid
0,[],1,"[0.16, 0.2, 0.16, 0.07, 0.1, 0.2, 0.12, 0.11, 0.09, 0.11, 0.24, 0.05, 0.22, 0.23, 0.11, 0.14, 0.2, 0.12, 0.01, 0.21, 0.12, 0.09, 0.19, 0.13, 0.17, 0.09, 0.03, 0.02]","[0.16, 0.19, 0.39, 0.26]",0.13,0.072,0,A2HSCKH5NKN5LP
1,[],6,"[0.08, 0.18, 0.14, 0.16, 0.03, 0.14, 0.01, 0.13, 0.15, 0.09, 0.08, 0.04, 0.14, 0.12, 0.16, 0.08, 0.14, 0.08, 0.12, 0.19, 0.08, 0.06, 0.13, 0.07, 0.19, 0.06, 0.16, 0.11]","[0.35, 0.27, 0.24, 0.14]",0.13,0.072,1,A2HSCKH5NKN5LP
2,[],4,"[0.11, 0.2, 0.17, 0.08, 0.18, 0.16, 0.12, 0.03, 0.09, 0.19, 0.06, 0.17, 0.13, 0.01, 0.13, 0.11, 0.16, 0.2, 0.13, 0.16, 0.16, 0.2, 0.16, 0.04, 0.12, 0.12, 0.11, 0.09]","[0.06, 0.05, 0.86, 0.03]",0.13,0.072,2,A2HSCKH5NKN5LP
3,[],4,"[0.06, 0.17, 0.19, 0.14, 0.07, 0.18, 0.15, 0.09, 0.21, 0.23, 0.21, 0.12, 0.07, 0.13, 0.16, 0.13, 0.02, 0.18, 0.12, 0.05, 0.01, 0.18, 0.18, 0.11, 0.23, 0.14, 0.03, 0.11]","[0.02, 0.9, 0.02, 0.06]",0.13,0.072,3,A2HSCKH5NKN5LP
4,[],5,"[0.09, 0.09, 0.11, 0.13, 0.2, 0.09, 0.24, 0.08, 0.12, 0.22, 0.13, 0.09, 0.22, 0.12, 0.23, 0.02, 0.1, 0.08, 0.09, 0.1, 0.02, 0.05, 0.18, 0.12, 0.19, 0.18, 0.11, 0.1]","[0.08, 0.9, 0.01, 0.01]",0.13,0.072,4,A2HSCKH5NKN5LP
5,[],2,"[0.03, 0.1, 0.02, 0.13, 0.1, 0.11, 0.16, 0.03, 0.15, 0.2, 0.18, 0.24, 0.12, 0.02, 0.13, 0.18, 0.1, 0.2, 0.07, 0.14, 0.13, 0.1, 0.14, 0.07, 0.11, 0.24, 0.09, 0.12]","[0.01, 0.01, 0.07, 0.91]",0.13,0.072,5,A2HSCKH5NKN5LP
6,[],6,"[0.15, 0.08, 0.18, 0.01, 0.06, 0.2, 0.1, 0.2, 0.16, 0.08, 0.17, 0.2, 0.18, 0.16, 0.08, 0.1, 0.15, 0.11, 0.09, 0.04, 0.19, 0.12, 0.14, 0.02, 0.24, 0.07, 0.1, 0.13]","[0.3, 0.23, 0.25, 0.22]",0.13,0.072,6,A2HSCKH5NKN5LP
7,[],5,"[0.12, 0.22, 0.16, 0.13, 0.08, 0.05, 0.08, 0.17, 0.17, 0.11, 0.15, 0.09, 0.13, 0.13, 0.13, 0.11, 0.19, 0.18, 0.16, 0.09, 0.1, 0.19, 0.21, 0.02, 0.14, 0.05, 0.03, 0.05]","[0.32, 0.11, 0.33, 0.24]",0.13,0.072,7,A2HSCKH5NKN5LP
8,[],5,"[0.09, 0.12, 0.15, 0.16, 0.16, 0.02, 0.19, 0.07, 0.07, 0.06, 0.21, 0.22, 0.18, 0.02, 0.12, 0.07, 0.14, 0.05, 0.08, 0.02, 0.13, 0.18, 0.14, 0.12, 0.11, 0.16, 0.08, 0.17]","[0.28, 0.12, 0.37, 0.23]",0.13,0.072,8,A2HSCKH5NKN5LP
9,[15],4,"[0.09, 0.1, 0.09, 0.19, 0.16, 0.1, 0.05, 0.12, 0.23, 0.2, 0.03, 0.02, 0.19, 0.08, 0.09, 0.2, 0.19, 0.24, 0.23, 0.17, 0.22, 0.17, 0.07, 0.04, 0.13, 0.21, 0.04, 0.1]","[0.04, 0.05, 0.06, 0.85]",0.13,0.072,9,A2HSCKH5NKN5LP
10,"[5, 17, 25, 13, 9, 1, 21]",1,"[1.83, 5.28, 2.85, 3.52, 5.37, 3.97, 5.21, 7.91, 6.83, 4.85, 7.49, 1.35, 3.91, 3.44, 7.95, 6.86, 2.79, 3.43, 4.89, 5.67, 0.27, 3.97, 5.16, 5.69, 3.36, 3.37, 5.57, 4.09]","[0.08, 0.85, 0.05, 0.02]",5.0,2.994,10,A2HSCKH5NKN5LP
