workerid,baseline,epsilon,log_likelihood
A0017268R9SKD8U2Y3F,-70.6781211099047,0.5,-68.26212654502845
A10M4SVDCER758,-644.6258339384224,0.5,-547.6861641656565
A11MAQOTZ6X2A6,-357.1071282779745,0.22448979591836732,-224.44235475027838
A11TREGDHSUSJW,-730.5628664023877,0.5,-738.1758631169964
A12SMSQ6D5227J,-264.48320406059486,0.5,-228.72041038621802
A1506T1PAYRT16,-263.9530413998941,0.37755102040816324,-207.74943081320362
A1640H4RXH8NZE,-437.2024786151343,0.5,-378.9470948235819
A16OTH6EQHJFA,-486.9929256879823,0.5,-425.8511178140265
A18SI5095GGGWT,-569.8272320760818,0.4897959183673469,-471.7752279007217
A1B592DM38HTL4,-544.2286019436358,0.5,-471.15861297184597
A1BAEJW3MDJ7FQ,-583.9709854891757,0.5,-538.1739653242396
A1BH6H9WRK49I,-791.262556448954,0.5,-811.481093659835
A1BMZUNL98C5GL,-74.0103256200799,0.5,-72.32137978743928
A1DWQO9X2ZQ35G,-441.56769298720394,0.4183673469387755,-343.5007309171172
A1HKYY6XI2OHO1,-103.14797123496406,0.5,-82.39481740542124
A1HNE8HESW1O0H,-305.69804173913485,0.5,-259.76769858993686
A1JLYIQ4HT4KQC,-775.380993586429,0.5,-863.0573466123933
A1MAAPY9K1G1YR,-512.829790661478,0.4897959183673469,-421.952130082414
A1MJVTR0PCKBWW,-603.4433038722486,0.5,-522.5331772380367
A1OBB3PWYWK9KK,-269.90022346988826,0.3877551020408163,-204.98167712518674
A1PLBPA6W1RZFD,-406.17946794683513,0.5,-374.66902955582077
A1PUHCEBSOWETV,-299.6030460114309,0.29591836734693877,-209.20532871607227
A1R5W4RQZTROD8,-569.7695169611686,0.5,-485.36384294161627
A1TO8F0HIM1OBQ,-212.86364961944037,0.4591836734693877,-181.5485309687998
A1TSPXCPRHR73P,-383.04970230673945,0.5,-345.1327704663689
A1WL3NZ50YEOWP,-746.2433479715448,0.5,-818.2719890360738
A1YSYI926BBOHW,-67.34591659972948,0.5,-64.2028733026176
A28CZ3YYL41JAZ,-199.06219041377048,0.37755102040816324,-159.74427188703692
A29AN71PV9UQAC,-518.4802037982276,0.5,-450.0193715832995
A2A4UAFZ5LW71K,-363.16395612297674,0.3877551020408163,-278.780041405249
A2A7O6KYJ9GS8A,-635.321494978106,0.5,-535.4482577112443
A2AWBDW9V1E9KT,-523.9050102784247,0.5,-483.10590850891066
A2C39KTRMOM1XZ,-500.57764315524173,0.5,-572.2780240215329
A2CF2BD4Q0ZDJN,-497.7825423546295,0.3877551020408163,-369.9696906260795
A2CJYS92WX7HN6,-353.00871213399034,0.29591836734693877,-238.99301664726164
A2E746SZEOVYXS,-369.38272348910056,0.39795918367346933,-281.005320744185
A2EOOF9D135HQ1,-536.4625905727287,0.5,-470.7174438314579
A2GOK2TYJIHR8,-841.5372742989326,0.5,-816.3524247843452
A2GOYSTIL3LOV1,-659.4061524499082,0.5,-549.2535709367808
A2HHGI5CNSS5PD,-651.3422147054364,0.4591836734693877,-518.6022177815211
A2HSCKH5NKN5LP,-186.558346813603,0.18367346938775508,-103.40627876509664
A2JHF7CU91EVXW,-695.001225448432,0.5,-651.3612698219438
A2JIRC73O88L0U,-309.0616284909923,0.4387755102040816,-253.53551930207752
A2JP9IKRHNLRPI,-470.4834640886005,0.47959183673469385,-376.3920773976506
A2KI7W45F6HRVY,-658.9084687678834,0.5,-568.1054405273003
A2MD4K1YFYBLZN,-196.24320211749983,0.5,-205.93626461797706
A2MKXI4KCRRI7Y,-381.84492198744226,0.3469387755102041,-286.2396278593161
A2N4A7XM3N1MM4,-583.6996473182626,0.5,-544.2087344454345
A2OVX9UW5WANQE,-148.72283509909263,0.31632653061224486,-104.87231721199855
A2QFER053G7FZZ,-474.6855131721913,0.44897959183673464,-382.538946694915
A2R7F3TSU5BL1,-90.41117622515344,0.5,-88.2995396557968
A2RWLFIP23FZA7,-83.62898416914665,0.5,-84.13399833162845
A2S75O867RJG0I,-352.07061430191413,0.39795918367346933,-272.0067736668802
A2TI9CGVG147MZ,-550.0790209167651,0.44897959183673464,-439.90148520331337
A2UOJVCT74AZ9S,-590.554400573666,0.5,-532.3035353864313
A2VQ1WGHLLLNJ1,-675.1702363592641,0.5,-715.680279432026
A2WAQLPXT615HQ,-878.7813988653033,0.5,-805.5903601770893
A2XSGALF8O9ISQ,-502.49751976097934,0.5,-430.5265365123644
A2YAYHZYI7M3HD,-332.40046656027124,0.5,-292.953395617456
A2ZKUU1KLDSGL0,-448.99137192329124,0.5,-525.2342104901879
A353STSNL3BYS6,-367.931907240446,0.39795918367346933,-282.03015502925257
A37JA32OJCPHML,-487.72020549134925,0.4693877551020408,-389.381108477359
A37S96RT1P1IT2,-509.5498553376394,0.4081632653061224,-397.121066027231
A38NKLE8WK7RKY,-365.3688114516337,0.4081632653061224,-284.26625602674164
A3CDJ8PZX578GQ,-372.765362492534,0.44897959183673464,-307.7677763499003
A3EIVR2LS7CCWB,-571.3932397495337,0.47959183673469385,-466.8439615914906
A3FOL78K2EQYVN,-708.924482235263,0.5,-665.7475771020538
A3JOUIM3CDC1DZ,-699.1859945526685,0.5,-643.6098319800888
A3KA3A3M7LPMPA,-477.40264416009967,0.32653061224489793,-333.13167016113204
A3MD34XEB4H6JF,-480.95552677007896,0.5,-446.6970234606144
A3N7R7P9HP2YB6,-561.6177149619995,0.5,-464.45534947402257
A3NHJPE6326P9V,-292.7109750816301,0.5,-307.4666885680012
A3SOJWB6AZWZV9,-417.35393154640457,0.4591836734693877,-333.34750138659507
A3VOSFN1XRFF01,-434.4580196287299,0.42857142857142855,-343.1284547561839
A4JDANAGZXH6R,-250.25927097980554,0.5,-236.61820951819865
A53NU6G63H6ZQ,-415.8810784370562,0.36734693877551017,-306.93475475250773
