SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,,,Feedback
250255,AHKRGPN5D3I2G,3EKVH9QMEZBH91YQ10AUUPH979K2D5,272,10/9/2020 12:44:24 PM,10/9/2020 12:48:56 PM,Approved,1.00,0.00,,,,,,
250255,A13CQDRK05RVKI,3WMINLGALCAW9CNGEJ8YG1IPYX0ACK,299,10/9/2020 12:44:58 PM,10/9/2020 12:49:57 PM,Approved,1.00,0.00,,,,,,
250255,A249EWKM1EOARK,3OS46CRSLG6RLJHDFNMRQO4SNLPV6D,316,10/9/2020 12:44:42 PM,10/9/2020 12:49:58 PM,Approved,1.00,0.00,,,,,,
250255,A35CL66BEUSJ5Z,32AT8R96GMGWV2QAHAFPV7Y1R3DSU7,382,10/9/2020 12:44:13 PM,10/9/2020 12:50:35 PM,Approved,1.00,0.00,,,,,,
250255,ANGX140AUBADX,3YDGXNSEO01FVKHMO6I21C06GWJ841,266,10/9/2020 12:46:16 PM,10/9/2020 12:50:42 PM,Approved,1.00,0.00,,,,,,
250255,A1FNA7IS6HB59,30LSNF239V2YHCECTEB5LMXMZES2I7,428,10/9/2020 12:44:33 PM,10/9/2020 12:51:41 PM,Approved,1.00,0.00,,,,,,
250255,A17V85U8PXS4LJ,3OHYZ19UGDCXI1KJ4OHPB1C6NBJAOH,392,10/9/2020 12:45:20 PM,10/9/2020 12:51:52 PM,Approved,1.00,0.00,,,,,,
250255,A1VVXZYA3TPHP0,31QNSG6A5S0CE7Z5Q4G94OKG7Y978K,431,10/9/2020 12:44:53 PM,10/9/2020 12:52:04 PM,Approved,1.00,0.00,,,,,,
250255,A8289AEOKHKV4,3F0BG9B9MQURTDQN38E3318I0DBY7O,404,10/9/2020 12:45:21 PM,10/9/2020 12:52:05 PM,Approved,1.00,0.00,,,,,,
250255,ALLP45O3BDWYM,3Z4GS9HPNWH8ETUMGZO3QOOLWE377X,467,10/9/2020 12:44:32 PM,10/9/2020 12:52:19 PM,Approved,1.00,0.00,,,,,,
250255,A13MU9BOYYMXGD,3JNQLM5FT5T07DMIEH8ID2PEGIM2LL,465,10/9/2020 12:44:35 PM,10/9/2020 12:52:20 PM,Approved,1.00,0.00,,,,,,
250255,A3774HPOUKYTX7,3DQQ64TANHSCAEZNKTQWIQENPZHPWN,503,10/9/2020 12:44:04 PM,10/9/2020 12:52:27 PM,Approved,1.00,0.00,,,,,,
250255,A25ZZOSL7MVU22,3LBXNTKX0S267RO6D9QLYJSFTX69X6,462,10/9/2020 12:44:50 PM,10/9/2020 12:52:32 PM,Approved,1.00,0.00,,,,,,
250255,A2NJ7N8INZOB00,3OLF68YTNA83CO7Q5LYZO73SVASFA0,449,10/9/2020 12:45:11 PM,10/9/2020 12:52:40 PM,Approved,1.00,0.00,,,,,,
250255,A2OBQ9KZ4GIHUG,3R9WASFE20N4DWFYHDEY50U14VZFZ1,395,10/9/2020 12:46:18 PM,10/9/2020 12:52:53 PM,Approved,1.00,0.00,,,,,,
250255,A84KYYIRZ3K00,32VNZTT0A8BLDPWINFO2STVB6O7R4W,267,10/9/2020 12:48:28 PM,10/9/2020 12:52:55 PM,Approved,1.00,0.00,,,,,,
250255,A21TGZU9EXJ272,32RIADZISTBXE4WV24O7I307SQQ4SX,535,10/9/2020 12:44:12 PM,10/9/2020 12:53:07 PM,Approved,1.00,0.00,,,,,,
250255,A3H3BTRV6I3LYU,30ZX6P7VF92UCNYIBWW5XNCMCTH2JJ,408,10/9/2020 12:46:20 PM,10/9/2020 12:53:08 PM,Approved,1.00,0.00,,,,,,
250255,A1VCAMP3XM62R4,3VZLGYJEYMHLDI6JH7KKB7U880UZXB,462,10/9/2020 12:45:31 PM,10/9/2020 12:53:13 PM,Approved,1.00,0.00,,,,,,
250255,AOJF7CPZVK5U3,3X65QVEQI1UD5VEKBAXOPFY0S9ZCL4,524,10/9/2020 12:44:36 PM,10/9/2020 12:53:20 PM,Approved,1.00,0.00,,,,,,
250255,A11244HS4DZOVL,36AHBNMV1SJ7AMRXULHP3TIEMOEYDH,472,10/9/2020 12:45:38 PM,10/9/2020 12:53:30 PM,Approved,1.00,0.00,,,,,,
250255,ALDWVFR4I0V2D,32N49TQG3HPS8LTG50336T6EJ4GAVJ,384,10/9/2020 12:47:13 PM,10/9/2020 12:53:37 PM,Approved,1.00,0.00,,,,,,
250255,A231NY4QEQ58PJ,3I3WADAZ9RB0CV829SQ83QWKVXI5O6,463,10/9/2020 12:46:00 PM,10/9/2020 12:53:43 PM,Approved,1.00,0.00,,,,,,
250255,A1J8TVICSRC70W,3EJPLAJKENN8U3MNGKBUBUHOBWW6ZP,401,10/9/2020 12:47:26 PM,10/9/2020 12:54:07 PM,Approved,1.00,0.00,,,,,,
250255,A1TSD3O3C3ZUT6,3OJSZ2ATDT3TRPG3S696S4AP58875I,351,10/9/2020 12:48:19 PM,10/9/2020 12:54:10 PM,Approved,1.00,0.00,,,,,,
250255,A62RZY5BWOZZM,3OXV7EAXLFX79AFUVDGL7TC9W1X36P,511,10/9/2020 12:45:47 PM,10/9/2020 12:54:18 PM,Approved,1.00,0.00,,,,,,
250255,AOGT0KZDUX8CC,3URFVVM166PTWECOC29XR0V4EIDZUJ,591,10/9/2020 12:44:30 PM,10/9/2020 12:54:21 PM,Approved,1.00,0.00,,,,,,
