Unnamed: 0,groundtruth,return,actions,directions,mod_actions
0,"(1, -8, 48, -1, 8, -48, -2, -4, -48)",49.0,"[2, 5, 8, 4, 7, 9]","['right', 'center', 'left']","[3, 6, 9, 5, 8, 0]"
16,"(-1, -24, -8, -1, -48, -8, -1, -8, 24)",16.0,"[2, 8, 0, 4, 1, 5, 9]","['left', 'left', 'right']","[3, 9, 1, 5, 2, 6, 0]"
31,"(-8, -1, -24, 4, -2, -24, -2, 4, 48)",45.0,"[2, 5, 8, 1, 3, 0, 9]","['center', 'left', 'right']","[3, 6, 9, 2, 4, 1, 0]"
45,"(4, -24, -2, 4, 48, 1, -2, 8, 48)",95.0,"[2, 8, 0, 4, 1, 9]","['left', 'center', 'right']","[3, 9, 1, 5, 2, 0]"
62,"(-48, 2, 4, 48, 1, -8, -2, -8, 24)",72.0,"[2, 8, 0, 3, 9]","['right', 'left', 'right']","[3, 9, 1, 4, 0]"
78,"(24, -8, -1, 48, -8, -2, -2, -8, 24)",92.0,"[2, 8, 0, 3, 9]","['left', 'left', 'right']","[3, 9, 1, 4, 0]"
97,"(1, -8, 24, 2, 4, 24, -1, 4, -48)",48.0,"[2, 5, 8, 7, 9]","['right', 'right', 'center']","[3, 6, 9, 8, 0]"
114,"(1, 8, -48, 1, 4, -24, 1, 24, 4)",30.0,"[2, 5, 8, 7, 1, 4, 9]","['center', 'center', 'center']","[3, 6, 9, 8, 2, 5, 0]"
132,"(1, 8, -24, 1, -4, -48, 8, 2, 24)",28.0,"[2, 5, 8, 1, 4, 9]","['center', 'left', 'right']","[3, 6, 9, 2, 5, 0]"
152,"(1, -8, -24, -1, 8, 24, -4, 48, -1)",67.0,"[2, 5, 8, 6, 7, 1, 9]","['left', 'right', 'center']","[3, 6, 9, 7, 8, 2, 0]"
170,"(-1, -8, -48, -2, -4, -24, 48, 1, -4)",38.0,"[2, 5, 8, 7, 6, 1, 4, 9]","['left', 'left', 'left']","[3, 6, 9, 8, 7, 2, 5, 0]"
188,"(1, -4, 24, -2, 8, -24, 24, 8, 2)",51.0,"[2, 5, 8, 6, 4, 9]","['right', 'center', 'left']","[3, 6, 9, 7, 5, 0]"
