,groundtruth,return,actions
0,"(1, -8, 48, -1, 8, -48, -48, -1, -8)",49.0,"[0, 6, 5, 2, 4, 8, 9]"
17,"(-1, -24, -8, -1, -48, -8, -24, -2, 4)",-5.0,"[0, 6, 2, 4, 1, 5, 8, 9]"
32,"(-8, -1, -24, 4, -2, -24, -48, 1, 8)",4.0,"[0, 6, 1, 5, 2, 3, 8, 9]"
47,"(4, -24, -2, 4, 48, 1, -48, 2, 8)",55.0,"[0, 6, 4, 1, 8, 9]"
63,"(-48, 2, 4, 48, 1, -8, -48, -2, 4)",51.0,"[0, 3, 6, 8, 2, 9]"
82,"(24, -8, -1, 48, -8, -2, -48, -2, 4)",72.0,"[0, 3, 6, 8, 9]"
99,"(24, -2, 4, 48, 1, 4, -1, 4, -48)",71.0,"[0, 3, 6, 8, 7, 9]"
118,"(24, 2, -8, 24, 1, -4, 1, 24, 4)",67.0,"[0, 3, 6, 8, 7, 9]"
135,"(24, 2, -4, 24, -1, -8, 8, 2, 24)",68.0,"[0, 3, 6, 8, 9]"
154,"(24, -2, -4, -24, 2, 4, -4, 48, -1)",70.0,"[0, 3, 6, 8, 7, 5, 9]"
172,"(-24, -2, -8, -48, -1, -4, 48, 1, -4)",40.0,"[0, 3, 6, 2, 5, 9]"
190,"(24, -1, 4, -48, 2, -4, 24, 8, 2)",46.0,"[0, 3, 6, 5, 9]"
