,groundtruth,return,action
0,"(1, -8, 48, -1, 8, -48, -2, -4, -48)",49.0,"[2, 5, 8, 4, 7, 9]"
1,"(-1, -4, -48, -1, -8, -48, -1, -8, 24)",17.0,"[2, 5, 8, 1, 4, 9]"
2,"(-2, -4, -24, 1, -8, -24, -2, 4, 48)",42.0,"[2, 5, 8, 1, 4, 9]"
3,"(1, -4, -48, 1, 8, 24, -2, 8, 48)",69.0,"[2, 5, 8, 1, 9]"
4,"(-2, 8, 24, 2, 4, -48, -2, -8, 24)",48.0,"[2, 5, 8, 4, 9]"
5,"(1, -8, -24, 2, -8, -48, -2, -8, 24)",22.0,"[2, 5, 8, 1, 4, 9]"
6,"(1, -8, 24, 2, 4, 24, -1, 4, -48)",48.0,"[2, 5, 8, 7, 9]"
7,"(1, 8, -48, 1, 4, -24, 1, 4, 24)",31.0,"[2, 5, 8, 1, 4, 9]"
8,"(1, 8, -24, 1, -4, -48, 2, 8, 24)",28.0,"[2, 5, 8, 1, 4, 9]"
9,"(1, -8, -24, -1, 8, 24, -1, 8, -24)",28.0,"[2, 5, 8, 1, 7, 9]"
10,"(-1, -8, -48, -2, -4, -24, 2, 4, -24)",-5.0,"[2, 5, 8, 1, 4, 7, 9]"
11,"(1, -4, 24, -2, 8, -24, 1, 8, 48)",76.0,"[2, 5, 8, 4, 9]"
12,"(-2, 8, -24, 2, -4, 24, 1, 4, -24)",31.0,"[2, 5, 8, 1, 7, 9]"
13,"(1, -8, -24, 2, -4, -48, -2, -4, -48)",-5.0,"[2, 5, 8, 1, 4, 7, 9]"
14,"(-2, 4, -24, -2, 4, 48, 2, 8, 48)",96.0,"[2, 5, 8, 1, 9]"
15,"(1, -8, 24, 1, 8, 48, 2, -8, 48)",117.0,"[2, 5, 8, 9]"
16,"(2, 4, 48, 1, 4, -24, 2, 8, -24)",55.0,"[2, 5, 8, 4, 7, 9]"
17,"(-2, 8, -24, 1, 8, 24, 1, -4, 48)",76.0,"[2, 5, 8, 1, 9]"
18,"(-2, 8, 48, -1, -8, -24, -1, 4, -48)",46.0,"[2, 5, 8, 4, 7, 9]"
19,"(-1, -8, -48, 2, 8, -48, -1, -4, -48)",0.0,"[2, 5, 8, 1, 4, 7, 9]"
20,"(2, -8, 24, -1, -8, -48, -2, 8, -48)",26.0,"[2, 5, 8, 4, 7, 9]"
21,"(1, 8, 24, -2, 8, -48, 1, -4, -48)",28.0,"[2, 5, 8, 4, 7, 9]"
22,"(-2, 8, -24, -2, -8, 48, -1, -4, -24)",50.0,"[2, 5, 8, 1, 7, 9]"
23,"(2, 4, 24, -2, -8, 24, 1, 8, -48)",52.0,"[2, 5, 8, 7, 9]"
24,"(1, 8, 24, 1, 4, 48, -2, -8, -48)",66.0,"[2, 5, 8, 7, 9]"
25,"(1, 4, -24, -1, -4, 24, -2, -4, 48)",72.0,"[2, 5, 8, 1, 9]"
26,"(-1, 8, 48, -2, -4, -24, 1, -8, -48)",42.0,"[2, 5, 8, 4, 7, 9]"
27,"(-2, 4, 48, -2, 8, -24, 2, 4, 24)",76.0,"[2, 5, 8, 4, 9]"
28,"(1, -8, -24, 1, -8, -24, -1, -8, -24)",-5.0,"[2, 5, 8, 1, 4, 7, 9]"
29,"(-2, -4, 24, 2, -8, -48, 2, 4, -24)",25.0,"[2, 5, 8, 4, 7, 9]"
30,"(-1, -4, -48, 1, 8, 48, 2, -4, -24)",44.0,"[2, 5, 8, 1, 7, 9]"
31,"(-2, -4, -24, -1, 8, 48, -2, 4, 48)",90.0,"[2, 5, 8, 1, 9]"
32,"(-1, 4, -24, 1, 4, -24, 2, 4, 24)",27.0,"[2, 5, 8, 1, 4, 9]"
