,groundtruth,return,actions
0,"(1, 4, 24, 1, -4, 24, -4, 48, 2)",91.0,"[1, 7, 0, 5, 2, 9]"
1,"(-1, 4, -48, -1, -8, -48, -8, -24, -1)",-5.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
2,"(-1, -8, 24, -1, -4, -24, -8, 24, -1)",41.0,"[1, 7, 0, 2, 5, 4, 9]"
3,"(1, 4, -24, 1, 8, 48, -8, -48, -2)",44.0,"[1, 7, 0, 5, 2, 6, 9]"
4,"(2, 4, 48, 1, 4, -48, 8, -48, -1)",53.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
5,"(-2, 8, -48, 2, -4, 24, 8, 24, -1)",51.0,"[1, 7, 0, 5, 2, 9]"
6,"(2, -4, 48, -2, -8, 24, 4, -24, -1)",70.0,"[1, 7, 0, 2, 5, 6, 9]"
7,"(-2, 8, -24, 1, 8, 24, 4, -48, -1)",30.0,"[1, 7, 6, 0, 5, 2, 9]"
8,"(2, 8, 48, 1, -8, -48, -4, -24, 1)",43.0,"[1, 7, 6, 0, 5, 2, 4, 9]"
9,"(-2, 4, -24, -2, -8, -48, -4, -48, -2)",-7.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
10,"(2, -8, 24, 1, -4, -48, -8, 48, -2)",67.0,"[1, 7, 0, 2, 5, 4, 9]"
11,"(-2, -8, -24, 1, -4, -24, -8, -24, 2)",-6.0,"[1, 7, 0, 2, 5, 4, 6, 9]"
12,"(-2, 4, -24, 1, -8, 48, 8, -48, 2)",54.0,"[1, 7, 0, 5, 2, 6, 9]"
13,"(2, -8, 48, 2, 8, -24, 4, 48, 1)",98.0,"[1, 7, 0, 2, 5, 4, 9]"
14,"(1, 8, 48, -2, -4, 48, 4, -24, 1)",94.0,"[1, 7, 6, 0, 5, 2, 9]"
15,"(2, -8, -48, -1, -4, 24, -4, -24, -2)",18.0,"[1, 7, 0, 2, 5, 6, 9]"
16,"(-2, 4, 24, -2, -4, -48, 4, -48, -2)",19.0,"[1, 7, 0, 5, 2, 4, 6, 9]"
17,"(-1, 4, -48, -2, 8, 24, 4, 24, -2)",47.0,"[1, 7, 0, 5, 2, 9]"
18,"(1, 4, 48, -2, 8, 48, 4, 48, -1)",139.0,"[1, 7, 0, 5, 2, 9]"
19,"(-2, 8, -48, -2, -4, -48, 4, 48, 2)",48.0,"[1, 7, 0, 5, 2, 4, 9]"
20,"(1, 8, 48, 2, -8, 24, -4, 24, 1)",91.0,"[1, 7, 0, 5, 2, 9]"
