group,groundtruth,return,actions,directions,mod_actions
0,"(1, 8, 48, -1, -8, 24, -48, -4, 1)",68,"[0, 6, 5, 2, 7, 9]","['right', 'right', 'right']","[1, 7, 6, 3, 8, 0]"
1,"(-1, -48, 4, -2, -48, 4, -48, 4, 2)",5,"[0, 6, 2, 4, 1, 5, 7, 9]","['right', 'right', 'center']","[1, 7, 3, 5, 2, 6, 8, 0]"
2,"(-4, 1, -48, -8, 2, 24, 24, 4, -2)",44,"[0, 6, 1, 2, 5, 9]","['center', 'right', 'left']","[1, 7, 2, 3, 6, 0]"
3,"(8, -48, -2, -4, -24, 1, -24, -4, -2)",1,"[0, 6, 7, 1, 4, 3, 9]","['left', 'right', 'right']","[1, 7, 8, 2, 5, 4, 0]"
4,"(24, 2, -8, 24, -2, -8, -48, -4, -2)",42,"[0, 3, 6, 7, 9]","['left', 'left', 'right']","[1, 4, 7, 8, 0]"
5,"(-24, 8, 2, 48, -8, -2, 48, -8, -2)",100,"[0, 3, 6, 1, 9]","['center', 'left', 'left']","[1, 4, 7, 2, 0]"
6,"(24, -4, -2, 24, -8, 1, -1, 4, 24)",68,"[0, 3, 6, 8, 9]","['left', 'left', 'right']","[1, 4, 7, 9, 0]"
7,"(-48, 4, -2, -48, -4, 2, 1, 24, -8)",23,"[0, 3, 6, 8, 7, 1, 4, 9]","['center', 'right', 'center']","[1, 4, 7, 9, 8, 2, 5, 0]"
8,"(-24, 8, 2, 48, -8, -2, -4, -1, -48)",50,"[0, 3, 6, 8, 1, 9]","['center', 'left', 'center']","[1, 4, 7, 9, 2, 0]"
9,"(24, 8, 2, -24, -8, 1, -8, -24, 1)",20,"[0, 3, 6, 8, 7, 4, 9]","['left', 'right', 'right']","[1, 4, 7, 9, 8, 5, 0]"
10,"(24, 4, -2, -48, 4, 2, -24, 2, 4)",26,"[0, 3, 6, 4, 7, 8, 9]","['left', 'center', 'right']","[1, 4, 7, 5, 8, 9, 0]"
11,"(48, -8, 2, 24, -4, 1, 48, -4, 2)",117,"[0, 3, 6, 9]","['left', 'left', 'left']","[1, 4, 7, 0]"
