group,groundtruth,return,actions
0,"(-2, -4, -48, 1, 8, -48, -8, -24, -1)",-2,"[1, 7, 0, 2, 5, 4, 6, 9]"
1,"(-1, 48, -4, 2, 24, -4, -8, -48, 1)",69,"[1, 4, 7, 6, 9]"
2,"(-4, -1, 48, -8, -1, 48, 4, 48, -2)",139,"[1, 7, 0, 2, 5, 9]"
3,"(8, 48, 2, 8, 24, -1, 4, 24, -1)",93,"[1, 4, 7, 9]"
4,"(-24, -2, 4, -48, 1, -4, 8, -48, 1)",6,"[1, 7, 0, 3, 5, 6, 2, 9]"
5,"(-48, -4, -2, 24, 8, -1, -4, 48, 1)",66,"[1, 7, 0, 3, 9]"
6,"(8, 24, -1, -4, 24, 1, 2, -4, -24)",46,"[1, 4, 7, 8, 9]"
7,"(-4, -48, 2, -4, -24, -1, 1, 24, 8)",18,"[1, 4, 0, 3, 2, 5, 7, 9]"
8,"(8, -24, 2, -8, -48, 1, 4, -1, -24)",4,"[1, 4, 0, 3, 2, 5, 7, 8, 6, 9]"
9,"(-8, 48, -2, 8, 48, -1, -8, -48, -2)",90,"[1, 4, 7, 6, 9]"
10,"(8, 24, -2, 8, -24, 2, -48, -1, 8)",31,"[1, 4, 3, 0, 2, 5, 7, 8, 6, 9]"
11,"(-8, 24, -2, -4, 24, 2, -48, 4, -2)",47,"[1, 4, 7, 8, 6, 9]"
