,Unnamed: 0,id,,condition,score,norm_score
1,2502,A339YQ2DS0BS8R:33F859I567KS9U3O6PMVM3ZARL9HB2,,2,757,-153
8,2509,AG3CT73HF2L2B:3HYA4D452SQE7LCMS65KIPKTH0J2FN,,1,627,-22
15,2516,A37XA1JSSYORAZ:3ERET4BTVNG0NRPZEQBW8PKCV2AK9Z,,2,645,-193
22,2523,A32PMXX4P67Z56:3D8YOU6S9FRR84SDAXCMU2287S06U7,,1,454,-435
29,2578,A1RK0C8N3ABXFY:3YJ6NA41JCNQ4UZODU7HT0KELHSJPU,,0,715,-39
35,2584,A1CW0W7Q2NLDDJ:3RGU30DZTBFKJR2BLEFPCWQJGCHJMY,,0,498,-70
41,2590,A3H35QRODK1C4K:3KKG4CDWKJ5F9P0WTYOG18VGYGK94Y,,2,613,-36
48,2597,A2L6GCRFAKUEXF:3R2UR8A0IBN9EESCFY93V9N3MAAOX5,,2,651,7
55,2614,ARPL21GXHF4M6:3ITXP059PXQNHMFG5BBBO5PP81ZSJJ,,0,-13,-898
61,2620,A3QDBNW2H8EMFW:39RP059MEI0E184ZXM28E876878BM5,,1,385,-366
68,2627,AWRMHUCV3KAW9:33M4IA01QH8CBRKS7QQ7P4S8XXVRXI,,2,545,-120
75,2634,A188QD7PP2FO7D:3Z2R0DQ0JILM17CQXVLE07ZT5Z4E2H,,1,-165,-814
82,2651,A1N4P4XGQM7NXE:3TY7ZAOG5GRIRX1MEUS3FEJJSYHK0O,,1,716,-173
89,2658,AK7FDS2KRJZLA:30BXRYBRP54KXX1Z1GIR9HCV1MSWHY,,1,147,-792
96,2665,A3J9ORWWVZCEOI:30LB5CDZNDHDGS08EVVD2T7WW7V0ZR,,2,-21,-996
103,2676,AP8QHC5BS3I6Z:3XUHV3NRVL5QKEMF5FVIJHZIHPNH51,,0,666,-88
109,2682,A18SXC3JEN1O0U:3M0BCWMB8W3A6KYD1O8VN69X69MBWW,,0,313,-576
115,2688,A2AQ62G80TCZLV:3PJUZCGDJ7NGSQNY51ETIKBL02G985,,0,118,-450
121,2702,AQ6CGN5UQ1LBB:3X0H8UUIT2V9N6FFCAUQDVJXAX9WSJ,,1,508,-246
128,2709,A34TVS5NMPO3O2:3EO896NRAX2OWMSVUBG1YALBAKDJTZ,,1,422,-446
135,2716,A2CMUFRXU1OSEQ:3BWI6RSP7HGTN89W3729WYG1GFQ7EQ,,0,815,-23
141,2722,A3VA8TXLVV8ESX:3A1PQ49WVIORWWLW4ST6GRM159IH1J,,0,383,-185
147,2734,A19SHUK48VM4HI:3XC1O3LBOTTURCGVXWSEEPY3E9JTLC,,2,694,-56
154,2741,A15C96Z8TZEV6D:35H6S234SB7ANP2Y9W4EMQAS8B965R,,2,784,-191
161,2748,A37PK1MTJSWPE2:3NC5L260MPTSES1RF43HP2NWI5GOFG,,0,183,-538
