pid,responses,rt,time_elapsed
0,"{""Q0"":""I found the highest ends and compared some of their routes"",""Q1"":""If the end result was negative it was not considered"",""Q2"":""When I found a highly profitable route"",""Q3"":""the ends first, then their closest nodes."",""Q4"":""I would sometimes compare the routes, if they were far apart, mainly the next closest one which could be highly negative making the higher end not worth its trip.""}",77627,836722
0,"{""Q0"":""I learned to explore the routes, and to not move until I knew where I was going."",""Q1"":""The ending questions made me confused, I did not really notice there was a range each node could belong in"",""Q2"":""24"",""Q3"":""I'm not sure if the quiz at the end was a quality check, but I paid attention; however, I did not notice the nodes fell within a range of possibilities based on their step.""}",74379,912106
1,"{""Q0"":""Clicking on the end of the trails"",""Q1"":""Not clicking withing the trail"",""Q2"":""When I saw a high number"",""Q3"":""the end of the trails."",""Q4"":""n/a""}",39824,923885
1,"{""Q0"":""To not be greedy and to stop sometimes sooner when I saw a high number. "",""Q1"":"""",""Q2"":""47"",""Q3"":""""}",25897,950787
2,"{""Q0"":""I spent a few bucks to see the the last nodes to see the biggest payout and went that way --- the paths never had big negatives so a +60 was always rewarded in the end."",""Q1"":""Stayed away from paths that had negatives at the end."",""Q2"":""I always clicked through to the end."",""Q3"":""On a node at the end."",""Q4"":""""}",60576,894924
2,"{""Q0"":""The reward was worth the risk."",""Q1"":""Nothing"",""Q2"":""30"",""Q3"":""fun""}",22155,918086
3,"{""Q0"":""I clicked on the nodes that were at a dead end"",""Q1"":""I didn't click on nodes in the middle"",""Q2"":""When I hit a high numbered node"",""Q3"":""Top or bottom nodes"",""Q4"":""I didn't want to sacrifice too much money per click so I only clicked a few times.""}",92415,574510
3,"{""Q0"":""To choose the highest number node."",""Q1"":""It was confusing at first but then I got the idea."",""Q2"":""43"",""Q3"":""This was fun.""}",56072,631597
4,"{""Q0"":""I started with the farthest nodes and found the highest value"",""Q1"":""I did not go in the direction of low nodes"",""Q2"":""I stopped clicking when I found a value close to 50"",""Q3"":""I started with the outside nodes in random order"",""Q4"":""I simply clicked outside nodes until I was satisfied with a value.""}",76775,644876
4,"{""Q0"":""I learned how to optimize my path"",""Q1"":""It was easy"",""Q2"":""23"",""Q3"":""""}",14920,660810
5,"{""Q0"":""I decided to click the end points, since those seemed to have the largest payouts."",""Q1"":""The earlier nodes had very little value and also very little loss, so it wasn't worth clicking the earlier nodes."",""Q2"":""I thought about stopping if I had a value of 40 or higher, as the odds of me making more than I spent beyond that seemed somewhat low. But I was curious and still clicked the final end-point nodes."",""Q3"":""The nodes at the end of the paths."",""Q4"":""I started the first 5 rounds by clicking every node, and essentially gathering data. After that I determined that the final node points where the highest priority. If two node points with the highest values on different paths had similar values, it seemed best to check the node directly before them to decide which path, and save money by not clicking any other nodes.""}",238690,1287191
5,"{""Q0"":""I learned that I should have adapted my strategy much sooner - particularly towards the end where I determined similar high yield nodes on different paths should have the values of the node before them checked."",""Q1"":""It was easy to understand after the practice rounds."",""Q2"":""32"",""Q3"":""Thanks - very interesting. All the best with your research!""}",105455,1393656
6,"{""Q0"":""I used random movements"",""Q1"":""I used random movements"",""Q2"":""When I had nowhere else to go"",""Q3"":""Up"",""Q4"":""No""}",30656,494628
6,"{""Q0"":"""",""Q1"":"""",""Q2"":""29"",""Q3"":""""}",10403,506040
7,"{""Q0"":""By checking for the highest dollar amount."",""Q1"":""By checking for negative spaces"",""Q2"":""When I reached the highest dollar amount."",""Q3"":""The nodes on the ends."",""Q4"":""No.""}",44788,682980
7,"{""Q0"":""To look before you go."",""Q1"":""No."",""Q2"":""23"",""Q3"":""""}",17477,701472
8,"{""Q0"":""Intuition"",""Q1"":""Intuition"",""Q2"":""I stopped clicking when I ran out of circles to click on!"",""Q3"":""I'm unsure."",""Q4"":""""}",72672,604603
8,"{""Q0"":""The game felt very random. There didn't seem to be any patterns."",""Q1"":""No."",""Q2"":""47"",""Q3"":""""}",57733,663345
9,"{""Q0"":""I started clicking every where."",""Q1"":""I realized the ending node was most impactful usually."",""Q2"":""Towards the end it seemed the less I clicked the bigger the profit."",""Q3"":""Everywhere"",""Q4"":""""}",134269,1136955
9,"{""Q0"":"""",""Q1"":""No"",""Q2"":""24"",""Q3"":""""}",47513,1185478
10,"{""Q0"":""Try to find a pattern"",""Q1"":""Try to ear the most"",""Q2"":""when I could not click anymore"",""Q3"":""right"",""Q4"":""trying my best""}",58268,624420
10,"{""Q0"":""I should not have repeated moves on the next turn"",""Q1"":""no"",""Q2"":""36"",""Q3"":""""}",20639,646085
11,"{""Q0"":""just tried my luck"",""Q1"":""when the values were in red concentrated to an area"",""Q2"":""when i found an amount that would bump my score up"",""Q3"":""the final destination circles"",""Q4"":""""}",78576,1110863
11,"{""Q0"":""how to move the spider to make the most money"",""Q1"":""no"",""Q2"":""38"",""Q3"":""thank you""}",46295,1158167
12,"{""Q0"":""in intersections to maybe lend insight to what is nearby"",""Q1"":""i HAVE to step on the nodes immediate to me, so why waste money checking them"",""Q2"":""i had a good enough idea of a safe direction"",""Q3"":""intersections a couple nodes out"",""Q4"":""""}",60343,759289
12,"{""Q0"":""big wins or losses are everywhere!"",""Q1"":""no"",""Q2"":""29"",""Q3"":""this was a load of fun! thank you!""}",47836,808133
13,"{""Q0"":""First I inspected the outer circles, and if the number was high enough, I went for it. "",""Q1"":""I inspected some, and didn't approach the negative or lower numbers. "",""Q2"":""When I reached the end of the road, and it told me to hit the space bar. "",""Q3"":""It really varied..no rhyme or reason really"",""Q4"":""Nope, just hoped for the best ""}",135513,1469594
13,"{""Q0"":""I learned that it payed to inspect a few nodes first. "",""Q1"":""The training was confusing...very confusing (like when I had to wait 42 seconds?) "",""Q2"":""55"",""Q3"":""none, thanks & good luck with your research !""}",88358,1559016
14,"{""Q0"":""I only clicked on the ends and a different one then paid high the time before"",""Q1"":""no plan"",""Q2"":""when I felt it was high enough"",""Q3"":""the end of any row"",""Q4"":""no""}",78298,1088753
14,"{""Q0"":""to look at the end results"",""Q1"":""no"",""Q2"":""60"",""Q3"":""no""}",34146,1123904
15,"{""Q0"":""I choose the nodes the furthest away"",""Q1"":""I did not click on nodes that were closest"",""Q2"":""When I saw a range that was high, 40s and above"",""Q3"":""On the left side"",""Q4"":""No""}",45886,1339733
15,"{""Q0"":""To be patient and take the time to unlock a couple nodes"",""Q1"":""No"",""Q2"":""26"",""Q3"":""NA""}",29459,1370197
