pid,responses,rt,time_elapsed
0,"{""Q0"":""I figured the amounts would shuffle with each round so I tried to click different nodes first in each round."",""Q1"":""If I had all end points clicked already, there wasn't much of a point to clicking the ones close to the middle unless I uncovered 2 with 48 points."",""Q2"":""When I found 1 or both with a value of 48"",""Q3"":""The end points (corners)"",""Q4"":""Just hoped for the best.""}",235927,1393181
0,"{""Q0"":""I learned that it's not as easy as it sounds."",""Q1"":""No."",""Q2"":""45"",""Q3"":""I did have to restart the survey 1 time because one of the pages  would not load. It sailed right through this time. Thank you.""}",168793,1563014
1,"{""Q0"":""I tried to figure out which node ended in the highest value"",""Q1"":""no negative 48 nodes"",""Q2"":""when I found the positive 48"",""Q3"":""the ends of each node line"",""Q4"":""""}",44403,716285
1,"{""Q0"":""Sometimes there wasn't a postive 48 node at all"",""Q1"":""no"",""Q2"":""33"",""Q3"":""""}",22278,739608
2,"{""Q0"":""I used the click to select the nodes at the corners and if it was green I went to the"",""Q1"":""I used the click to select the nodes at the corners and if it was green I went to the"",""Q2"":""when I saw at least the value of 24"",""Q3"":""in the corners"",""Q4"":""No nothing special""}",82905,980721
2,"{""Q0"":""to make decisions without so much information"",""Q1"":""no"",""Q2"":""26"",""Q3"":""I think that there is no way to get 5 usd bonus, then they should not put that value, it seems a little cheating""}",73844,1055575
3,"{""Q0"":""I decided where to click based on the dollar amount of the last node."",""Q1"":""If the dollar amount of the last node was negative, I did not go that route."",""Q2"":""I stopped clicking when I get a favorable amount."",""Q3"":""I was more likely to click on the node that would lead to me going a shorter route."",""Q4"":""""}",73203,629119
3,"{""Q0"":""I didn't learn anything from this experiment."",""Q1"":""It was not confusing but it was hard to understand. I did not realize that I could reveal the amount under all the nodes."",""Q2"":""29"",""Q3"":""Fun experiment.""}",45114,675243
4,"{""Q0"":""I clicked the nodes at the end to determine where to click. "",""Q1"":""I looked for the nodes with negative dollar amounts at the end of the web."",""Q2"":""When I found the green $48 node at the end of the web."",""Q3"":""One of the nodes at the end"",""Q4"":""I continued clicking the nodes at the end of the web until I found one worth $48""}",93840,598857
4,"{""Q0"":""Training block. "",""Q1"":""I was originally under the impression that I could only click one node per round. "",""Q2"":""33"",""Q3"":""This was a fun task. I look forward to doing more""}",46041,645911
5,"{""Q0"":""The last node you could end on"",""Q1"":""the ones near the center did not matter"",""Q2"":""When I found a big dollar amount"",""Q3"":""An outer most node"",""Q4"":""no""}",51891,580618
5,"{""Q0"":""I clicked enough to be sure"",""Q1"":""no"",""Q2"":""55"",""Q3"":""NA""}",24534,606155
6,"{""Q0"":""Third level node. "",""Q1"":""First or second level node."",""Q2"":""After revealing a third-level node."",""Q3"":""Third-level node."",""Q4"":""No other strategy, it seemed random. ""}",54911,550660
6,"{""Q0"":""That the game is mostly random."",""Q1"":""No."",""Q2"":""35"",""Q3"":""Waiting several seconds between clicks and movements disrupted flow. ""}",38050,589714
