pid,responses,rt,time_elapsed
0,"{""Q0"":""seeing the numbers in green"",""Q1"":""seeing the numbers with minus sign and red in color."",""Q2"":""when the node ends"",""Q3"":""in the center on the spider"",""Q4"":""seeing two green numbers I decided to move my arrow towards it.""}",160460,1108854
0,"{""Q0"":""I learned to be proactive with the numbers.Not to lose the game and gain more score."",""Q1"":""It was easy ,nothing confusing."",""Q2"":""39"",""Q3"":""Fun to play the game.""}",101046,1210914
1,"{""Q0"":""I worked on the outer nodes first and tried to use luck and logic to find the positive 48 quickly"",""Q1"":""I pretty much only decided on where TO click, starting with the outer nodes and working my way in logically. I pretty much never clicked the nodes closest to the start"",""Q2"":""When I found a logical clear path"",""Q3"":""outside nodes that were different than where I had gone before"",""Q4"":""tried to figure everything out in as few clicks as possible""}",109484,759209
1,"{""Q0"":""Game theory in action"",""Q1"":""no"",""Q2"":""31"",""Q3"":""thanks!""}",24037,784255
2,"{""Q0"":""completely random unless I saw a negative in one line"",""Q1"":""Seeing too many negatives"",""Q2"":""When I saw a positive 24 or 48 "",""Q3"":""the end of the lines"",""Q4"":""I tried clicking nodes, then tried a few rounds without clicking to see how well I could guess. I lost the most that way, so went back to chancing -$1 instead of -$48""}",102015,848961
2,"{""Q0"":""I am a horrible guesser!"",""Q1"":""The test was hard, as there seemed to be no rhyme or reason to which node you were expected to try before moving the spider"",""Q2"":""51"",""Q3"":""Fun game!""}",64844,914821
3,"{""Q0"":""Always find the highest values in the out most nodes."",""Q1"":""In the most closest nodes."",""Q2"":""when I find 48 in the out most nodes."",""Q3"":""In the nodes beside the center."",""Q4"":""No I don't have any. It was a fun game.""}",114206,1358279
3,"{""Q0"":""After practice we change our strategies."",""Q1"":""No."",""Q2"":""33"",""Q3"":""""}",29566,1388851
4,"{""Q0"":""based on highest possible payout"",""Q1"":""lowest possible payout"",""Q2"":""when i reached the maximum amount"",""Q3"":""-24"",""Q4"":""try to earn an average of $50 per round""}",45651,812382
4,"{""Q0"":""be decisive"",""Q1"":""at first, i must've mis read the instructions"",""Q2"":""33"",""Q3"":""none""}",33188,846610
5,"{""Q0"":""I continue clicking on the leaf nodes until I find one with a $48 dollar value. Then I stop clicking and go to that node."",""Q1"":""I do not click on any non-leaf nodes. Their value is not important, at least on a rough heuristic level."",""Q2"":""When I discover a leaf node with $48 value, I stop clicking and go to that node."",""Q3"":""I always started clicking on the leaf nodes to the left, but there's no real reason I made this choice."",""Q4"":""No - just keep uncovering leaf nodes until I find one with a $48 value. Then I go to that node. That was my entire strategy. This strategy might not be strictly optimized (?), but it works as a decent heuristic approach.""}",275561,783144
5,"{""Q0"":""Um...always go to the first leaf node you discover with a $48 value."",""Q1"":""No - this was a very fun HIT! Very well-constructed. Much more intriguing than most MTurk surveys. "",""Q2"":""25"",""Q3"":""Thanks for the survey! It was a lot of fun, and very well-constructed. You know, by MTurk survey standards. I'd still rather watch Netflix though. And you guys pay really well.""}",167074,951225
6,"{""Q0"":""I learned quickly to click father out to find the ones with +48"",""Q1"":""It didnt matter to click closer to me because I had to go through those anyway to get to the last ones"",""Q2"":""When I found the 48 by clicking on it or due process of elimination"",""Q3"":""The last ones"",""Q4"":""not really""}",56091,1051641
6,"{""Q0"":""I learned to check for the outer ones first"",""Q1"":""No"",""Q2"":""23"",""Q3"":""""}",15507,1068155
7,"{""Q0"":""i wanted to look at the end totals to decide where to go."",""Q1"":""i decided not to click on the negative numbers."",""Q2"":""i stopped clicking when i found a positive 48 or if i couldn't find a positive 48 then i settled for a positive 24."",""Q3"":""top left node"",""Q4"":""i worked left to right for the most part to find the best positive number.""}",113320,880192
7,"{""Q0"":""i learned to check a lot of options before deciding what to choose."",""Q1"":""no"",""Q2"":""41"",""Q3"":""interesting and fun survey!""}",42455,923669
8,"{""Q0"":""corners were largest"",""Q1"":""the ones closest to me were the smallest"",""Q2"":""when I found what I learned was largest"",""Q3"":""left corners"",""Q4"":""corners""}",75002,533626
8,"{""Q0"":""amount closest to me were smallest and furthest away were the largest"",""Q1"":""no"",""Q2"":""40"",""Q3"":""no""}",117227,651866
9,"{""Q0"":""Whichever lead to the node with the most money"",""Q1"":""anywhere that was negative I wouldn't go to it"",""Q2"":""once I found 48 I quit clicking"",""Q3"":""top left"",""Q4"":""no""}",60724,608239
9,"{""Q0"":""I learned how to pick which way to go depending on what the end result would be."",""Q1"":""no"",""Q2"":""42"",""Q3"":""no""}",32784,642034
10,"{""Q0"":""The far outer seemed to be where the highest values were so i clicked there first."",""Q1"":""The inner spaces seemed to have lower values so I didn't click there."",""Q2"":""When I found the +48."",""Q3"":""bottom outer"",""Q4"":""Just started with the outside until I found the highest value.""}",99270,634734
10,"{""Q0"":""To strategically select where to go."",""Q1"":""No"",""Q2"":""61"",""Q3"":""""}",31246,666996
11,"{""Q0"":""At first, I foolishly decided to check the first nodes to see which ones led to positive results. After several rounds I realized that the best nodes to check were the final ones so I could head toward one with a high value. "",""Q1"":""I only checked one end node of each path, looking for a positive one. If I had a round where I found no positive nodes, I would check the other end ones. "",""Q2"":""When I found an end node worth 48. "",""Q3"":""Bottom right end node. "",""Q4"":""That's all. I wish I had figured it out sooner; I could have gotten a much larger bonus! ""}",206003,692107
11,"{""Q0"":""I learned how to analyze this game. "",""Q1"":""No, I just didn't figure it out quickly enough. "",""Q2"":""38"",""Q3"":""NA""}",37715,730908
12,"{""Q0"":""I would buy until I saw green then go for that. "",""Q1"":""If it was red I would not go that way. "",""Q2"":""if It was 24 or 48 that was the best I could get. "",""Q3"":""In the beginning, I was leaning more towards the top right and the left right. "",""Q4"":""It was frustrating at first, but I slowly got the hang of it. ""}",53944,806117
12,"{""Q0"":""I learned that you have to spend money to make money. "",""Q1"":""The beginning was confusing. "",""Q2"":""26"",""Q3"":""""}",32691,839818
