pid,responses,rt,time_elapsed
0,"{""Q0"":""female"",""Q1"":""24"",""Q2"":""USA"",""Q3"":""employed part-time"",""Q4"":""1""}",17488,17511
0,"{""Q0"":""I realized that the end nodes had the highest value so I only clicked on those"",""Q1"":""i decided the small nodes didn't have much value so I did not click those."",""Q2"":""I stopped clicking when I found a +48 because I knew that was the highest value"",""Q3"":""One of the outer nodes"",""Q4"":""No""}",108674,629984
0,"{""Q0"":""How to create a strategy to earn the most points.no"",""Q1"":""no"",""Q2"":""""}",31735,662737
1,"{""Q0"":""male"",""Q1"":""28"",""Q2"":""United States"",""Q3"":""self-employed"",""Q4"":""3""}",26562,26714
2,"{""Q0"":""Female"",""Q1"":""46"",""Q2"":""United States"",""Q3"":""Employed Part Time"",""Q4"":""3""}",27130,27170
3,"{""Q0"":""Female"",""Q1"":""30"",""Q2"":""USA"",""Q3"":""Homemaker/Mturker"",""Q4"":""2""}",13205,13214
4,"{""Q0"":""female"",""Q1"":""36"",""Q2"":""USA"",""Q3"":""self employed"",""Q4"":""4""}",9631,9642
5,"{""Q0"":""male"",""Q1"":""42"",""Q2"":""usa"",""Q3"":""part time"",""Q4"":""0""}",32778,32805
6,"{""Q0"":""Male"",""Q1"":""25"",""Q2"":""United States"",""Q3"":""Full-Time Student/Part-Time Employment"",""Q4"":""1""}",69978,69992
7,"{""Q0"":""male"",""Q1"":""53"",""Q2"":""USA"",""Q3"":""Full Time"",""Q4"":""5""}",27014,27027
7,"{""Q0"":""Random guess"",""Q1"":""Tried something different each time"",""Q2"":""When it reached the end"",""Q3"":""To the left"",""Q4"":""Change direction every third time""}",79855,559121
7,"{""Q0"":""It was kind of interesting"",""Q1"":""Wasn't sure if I could stop where I was"",""Q2"":""Bigger webs to go through""}",49651,609775
8,"{""Q0"":""male"",""Q1"":""31"",""Q2"":""usa"",""Q3"":""full-time"",""Q4"":""2""}",12242,12287
9,"{""Q0"":""Female"",""Q1"":""41"",""Q2"":""United States"",""Q3"":""Employed Full Time"",""Q4"":""2""}",21231,21242
10,"{""Q0"":""Male"",""Q1"":""30"",""Q2"":""USA"",""Q3"":""Employed Full-Time"",""Q4"":""3""}",19155,19166
11,"{""Q0"":""female"",""Q1"":""41"",""Q2"":""United States"",""Q3"":""Homemaker"",""Q4"":""2""}",26083,26096
12,"{""Q0"":""female"",""Q1"":""47"",""Q2"":""usa"",""Q3"":""full time"",""Q4"":""4""}",29412,29448
13,"{""Q0"":""Male"",""Q1"":""20"",""Q2"":""U.S."",""Q3"":""Student "",""Q4"":""5""}",44465,44475
13,"{""Q0"":""random"",""Q1"":""random"",""Q2"":""when i couldnt "",""Q3"":""random"",""Q4"":""no""}",23604,512246
13,"{""Q0"":""nothing"",""Q1"":""no"",""Q2"":""no""}",19690,532939
14,"{""Q0"":""Male"",""Q1"":""50"",""Q2"":""USA"",""Q3"":""Employed full time"",""Q4"":""1""}",14117,14131
14,"{""Q0"":""guessing"",""Q1"":""same"",""Q2"":""when i reached the end"",""Q3"":""right"",""Q4"":""towards the end I realized its better to pay for the sneak peek""}",37378,452056
14,"{""Q0"":""pay a little upfront to get better results"",""Q1"":""no"",""Q2"":""no""}",20909,473972
15,"{""Q0"":""male"",""Q1"":""70"",""Q2"":""usa"",""Q3"":""retired"",""Q4"":""4""}",18422,18452
15,"{""Q0"":""by chance"",""Q1"":""hoped I would not get a negative"",""Q2"":""I just kept clicking"",""Q3"":""Tried all around"",""Q4"":""I could not see any pattern""}",54582,575512
15,"{""Q0"":""nice game of chance, looked like it was set up ahead of time"",""Q1"":""no, accept I could not see what you were trying to figure out"",""Q2"":""no""}",59752,636276
16,"{""Q0"":""female"",""Q1"":""30"",""Q2"":""America"",""Q3"":""full time"",""Q4"":""4""}",24561,24577
17,"{""Q0"":""male"",""Q1"":""21"",""Q2"":""USA"",""Q3"":""Full time student"",""Q4"":""1""}",16979,16990
17,"{""Q0"":""Once I figured out the last ones were the largest in magnitude, I just started checking those. If two 48s were there, I checked one of the second nodes. If it was +8 i went, otherwise I checked the other side then decided"",""Q1"":""The first nodes were of little consequence, so it wasn't worth clicking them"",""Q2"":""Once I realized the early nodes were cheaper, it wasn't worth the $1 to reveal them"",""Q3"":""One of the end nodes"",""Q4"":""""}",116025,705391
17,"{""Q0"":""I learned that knowledge isn't always worth it. Maybe not a great lesson but oh well"",""Q1"":""nope!"",""Q2"":""""}",42413,748814
18,"{""Q0"":""female"",""Q1"":""35"",""Q2"":""USA"",""Q3"":""Employed Part-time"",""Q4"":""2""}",25536,25560
19,"{""Q0"":""female"",""Q1"":""24"",""Q2"":""usa"",""Q3"":""part time"",""Q4"":""3""}",15995,16014
19,"{""Q0"":""noticing the outermost nodes cost the most or gained the most"",""Q1"":""inner nodes had less value"",""Q2"":""knowing which one had 48 was all i needed to know"",""Q3"":""all nodes"",""Q4"":""""}",36535,486722
19,"{""Q0"":""calculated risk versus reward"",""Q1"":""no"",""Q2"":""no""}",17992,505723
20,"{""Q0"":""Male"",""Q1"":""49"",""Q2"":""USA"",""Q3"":""Employed Full Time"",""Q4"":""2""}",24420,24466
20,"{""Q0"":""I realized there was often a +48. then I tried to get to that step."",""Q1"":""Once I found the 48 I stopped clicking"",""Q2"":""Once I found the 48 I stopped clicking"",""Q3"":""At the end nodes"",""Q4"":""Hitting the +48 was more important than anything else.""}",76196,665984
20,"{""Q0"":""I wanted to explore first at the end of my path, and not the beginning."",""Q1"":""No"",""Q2"":""No comments!""}",32546,699546
21,"{""Q0"":""MALE"",""Q1"":""60"",""Q2"":""USA"",""Q3"":""SELF-EMPLOYED"",""Q4"":""2""}",28878,28890
21,"{""Q0"":""partly at random, and partly based on results of previous round"",""Q1"":""Where I got negative results on previous round"",""Q2"":""When I had gone as far as I could"",""Q3"":""to the left "",""Q4"":""no""}",119623,626207
21,"{""Q0"":""that it was a random game"",""Q1"":""no"",""Q2"":""no""}",43958,671169
22,"{""Q0"":""female"",""Q1"":""43"",""Q2"":""usa"",""Q3"":""full time"",""Q4"":""4""}",24744,24780
23,"{""Q0"":""Female"",""Q1"":""29"",""Q2"":""United States"",""Q3"":""Self-Employed"",""Q4"":""5""}",21226,21272
24,"{""Q0"":""Male"",""Q1"":""27"",""Q2"":""USA"",""Q3"":""Unemployed"",""Q4"":""3""}",18538,18560
